"product_id","sku","name","price","color","product_type","product_image"
"6336","JU-01-E01-922-16","Dragonfly Earrings","699.0000","Gold","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/d/r/dragonfly_earrings.jpg"
"6394","JU-01-N02-516-16","Star Crochet Necklace","549.0000","Black","Necklaces","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/s/t/star_crochet_necklace.jpg"
"6405","JU-01-E02-503-16","White Marble Earrings","649.0000","Multi-Color","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/w/h/white_marble_earrings1.jpg"
"6408","JU-01-N01-501-16","Intricate Ring Set","699.0000","Gold","Rings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/i/n/intericate_ring_set.jpg"
"6410","JU-01-B01-408-16","Elegant White Rhinestone Bracelet","699.0000","White","Bracelets","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/d/s/dsc_5833.jpg"
"6419","JU-01-N02-201-16","Rectangular Pendant Gold Chain","649.0000","Gold","Necklaces","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/j/u/ju-01-n02-201-16.jpg"
"6422","JU-01-E02-207-16","Criss Cross Hoop Earrings","499.0000","Gold","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/J/U/JU-01-E02-207-16_1.jpg"
"6424","JU-01-E02-210-16","Diamonds In Hoop Earrings","649.0000","Gold","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/d/i/diamonds_in_hoop_earrings.jpg"
"6430","JU-01-E02-304-16","Tubular Hoop Earrings","549.0000","Gold","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/J/U/JU-01-E02-304-16_1.jpg"
"6431","JU-01-E02-305-16","Silver Tubular Hoop Earrings","549.0000","Silver","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/J/U/JU-01-E02-305-16_1.jpg"
"6432","JU-01-E02-306-16","Achromatic And Geometric Earrings","649.0000","Black And White","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/J/U/JU-01-E02-306-16_1.jpg"
"6433","MA-02-B01-803-16","Hull And Bead Bracelet","975.0000","Peach","Bracelets","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/d/s/dsc_6027.jpg"
"6448","JU-01-B01-101-16","All Accessories Set","999.0000","Silver","Bracelets","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/2/0/20.jpg"
"6464","JU-01-B01-701-16","Letter Cuff Bangle","499.0000","Silver","Bracelets","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/J/U/JU-01-B01-701-16_1.jpg"
"6496","JU-03-N01-103-16","Square Cut Out Choker Necklace","1299.0000","Gold","Necklaces","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/i/m/img_4415.jpg"
"6526","NV-01-C01-224-15","Musical Note","249.0000","Gold","Charms","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/d/s/dsc_6221.jpg"
"6527","NV-01-C01-225-15","Silver Musical Note","249.0000","Silver","Charms","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/d/s/dsc_6221-2.jpg"
"6537","JU-01-E02-212-16","Classy Rectangular Earrings","499.0000","Gold","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/J/U/JU-01-E02-212-16_1.jpg"
"6550","AU-01-N01-202-16","Ring In Ring Beaded Chain","799.0000","Black","Necklaces","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/A/U/AU-01-N01-202-16_1_1.jpg"
"6568","AU-01-R01-301-16","Antique Crystal Ring","499.0000","White","Rings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/A/U/AU-01-R01-301-16_1.jpg"
"6615","AU-01-N01-803-16","Gothic Retro Necklace","499.0000","Multi-Color","Necklaces","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/A/U/AU-01-N01-803-16_1_1.jpg"
